iter	Passed	Remaining
660	8299	4256
661	8310	4243
662	8322	4230
663	8332	4216
664	8344	4203
665	8355	4190
666	8368	4178
667	8382	4166
668	8395	4153
669	8408	4141
670	8422	4129
671	8435	4117
672	8447	4104
673	8460	4091
674	8471	4078
675	8485	4067
676	8497	4054
677	8512	4042
678	8527	4031
679	8542	4020
680	8557	4008
681	8569	3995
682	8583	3983
683	8593	3970
684	8604	3957
685	8617	3944
686	8628	3931
687	8639	3918
688	8652	3905
689	8665	3893
690	8676	3879
691	8689	3867
692	8701	3854
693	8715	3843
694	8729	3830
695	8741	3818
696	8754	3805
697	8767	3793
698	8782	3781
699	8795	3769
700	8809	3757
701	8821	3744
702	8832	3731
703	8843	3718
704	8854	3705
705	8866	3692
706	8881	3680
707	8894	3668
708	8907	3656
709	8922	3644
710	8935	3632
711	8943	3617
712	8952	3603
713	8965	3591
714	8978	3578
715	8991	3566
716	9000	3552
717	9012	3539
718	9023	3526
719	9033	3513
720	9044	3500
721	9058	3487
722	9069	3474
723	9081	3461
724	9091	3448
725	9101	3434
726	9112	3421
727	9125	3409
728	9138	3397
729	9149	3384
730	9160	3371
731	9173	3358
732	9184	3345
733	9196	3332
734	9208	3320
735	9220	3307
736	9231	3294
737	9242	3281
738	9253	3268
739	9263	3254
740	9275	3242
741	9288	3229
742	9300	3217
743	9313	3204
744	9323	3191
745	9337	3179
746	9347	3165
747	9359	3153
748	9371	3140
749	9383	3127
750	9398	3116
751	9427	3109
752	9453	3100
753	9470	3089
754	9488	3078
755	9503	3067
756	9517	3055
757	9535	3044
758	9554	3033
759	9566	3021
760	9578	3008
761	9591	2995
762	9605	2983
763	9616	2970
764	9627	2957
765	9638	2944
766	9650	2931
767	9660	2918
768	9671	2905
769	9682	2892
770	9692	2878
771	9703	2865
772	9716	2853
773	9729	2840
774	9742	2828
775	9752	2815
776	9764	2802
777	9776	2789
778	9790	2777
779	9801	2764
780	9810	2751
781	9822	2738
782	9832	2725
783	9843	2712
784	9854	2698
785	9866	2686
786	9878	2673
787	9889	2660
788	9902	2648
789	9913	2635
790	9927	2622
791	9942	2611
792	9954	2598
793	9967	2585
794	9980	2573
795	9991	2560
796	10004	2548
797	10018	2535
798	10029	2523
799	10042	2510
800	10053	2497
801	10066	2485
802	10080	2473
803	10106	2463
804	10132	2454
805	10154	2444
806	10170	2432
807	10185	2420
808	10197	2407
809	10205	2393
810	10218	2381
811	10230	2368
812	10244	2356
813	10255	2343
814	10267	2330
815	10279	2318
816	10293	2305
817	10306	2293
818	10317	2280
819	10330	2267
820	10341	2254
821	10356	2242
822	10369	2230
823	10379	2216
824	10390	2204
825	10400	2190
826	10413	2178
827	10426	2165
828	10437	2152
829	10448	2140
830	10463	2128
831	10476	2115
832	10488	2102
833	10499	2089
834	10511	2077
835	10522	2064
836	10531	2051
837	10544	2038
838	10557	2026
839	10568	2013
840	10578	2000
841	10590	1987
842	10602	1974
843	10611	1961
844	10624	1948
845	10634	1935
846	10644	1922
847	10657	1910
848	10668	1897
849	10677	1884
850	10690	1871
851	10701	1858
852	10710	1845
853	10721	1833
854	10732	1820
855	10742	1807
856	10757	1794
857	10768	1782
858	10780	1769
859	10790	1756
860	10802	1743
861	10811	1730
862	10822	1718
863	10834	1705
864	10846	1692
865	10856	1679
866	10868	1667
867	10878	1654
868	10889	1641
869	10900	1628
870	10910	1615
871	10920	1603
872	10930	1590
873	10940	1577
874	10954	1564
875	10966	1552
876	10977	1539
877	10988	1526
878	11000	1514
879	11011	1501
880	11020	1488
881	11033	1476
882	11041	1463
883	11052	1450
884	11065	1437
885	11074	1424
886	11084	1412
887	11095	1399
888	11104	1386
889	11115	1373
890	11126	1361
891	11135	1348
892	11150	1336
893	11163	1323
894	11176	1311
895	11184	1298
896	11196	1285
897	11206	1272
898	11215	1260
899	11227	1247
900	11239	1234
901	11249	1222
902	11261	1209
903	11273	1197
904	11283	1184
905	11295	1171
906	11306	1159
907	11315	1146
908	11328	1134
909	11341	1121
910	11349	1108
911	11361	1096
912	11374	1083
913	11383	1071
914	11394	1058
915	11406	1046
916	11414	1033
917	11426	1020
918	11437	1008
919	11449	995
920	11460	983
921	11472	970
922	11483	957
923	11492	945
924	11502	932
925	11511	919
926	11524	907
927	11535	895
928	11544	882
929	11556	869
930	11571	857
931	11580	844
932	11592	832
933	11603	819
934	11613	807
935	11624	794
936	11637	782
937	11647	769
938	11658	757
939	11670	744
940	11680	732
941	11690	719
942	11702	707
943	11712	694
944	11723	682
945	11737	669
946	11750	657
947	11762	645
948	11778	632
949	11788	620
950	11800	608
951	11811	595
952	11821	583
953	11834	570
954	11844	558
955	11854	545
956	11865	533
957	11877	520
958	11887	508
959	11900	495
960	11910	483
961	11921	470
962	11933	458
963	11944	446
964	11956	433
965	11967	421
966	11982	408
967	11997	396
968	12006	384
969	12017	371
970	12030	359
971	12042	346
972	12051	334
973	12064	322
974	12075	309
975	12090	297
976	12100	284
977	12112	272
978	12123	260
979	12135	247
980	12147	235
981	12161	222
982	12174	210
983	12192	198
984	12205	185
985	12216	173
986	12228	161
987	12239	148
988	12252	136
989	12262	123
990	12277	111
991	12288	99
992	12299	86
993	12310	74
994	12323	61
995	12336	49
996	12346	37
997	12357	24
998	12372	12
999	12383	0
